HA/KAR/OM H01,Om Hospital,,Ram Nagar Assandh,Karnal,13-Jan-23,
HA/GUR/SHRI2396,Shri Kailash Hospital,,Bhangrola,Manesar,13-Jan-23,
RA/ALW/BMR 02,Bmr Hospital,,1/14 Uit Road Sect. 1 Bhiwadi Alwar,Bhiwadi,13-Jan-23,
HA/GUR/CHAU01,Chauhan Hospital,,"Near Chungi No 4, Tauru Road, Teh. Pataidi,",Pataudi,13-Jan-23,
HA/KAR/SWAS01,Swastik Hospital,Multispeciality,"Opp. Civil Hospital,Karnal-132001",Karnal,13-Jan-23,
HA/KAR/PRP 01,Prp Hospital Kidney Centre And,,"Opp. Civil Hospital, Karnal",Karnal,13-Jan-23,
HA/MAH/SAMM02,Sammat Memorial Hospital,,Sastri Colony Opp.Bus Stand Mahendergarh,Mahendergarh,13-Jan-23,
HA/GUR/SAI 04,Sai Siddhi,Urology And,Plot No-82 Sec-46,Gurugram,13-Jan-23,
DE/NEW/SARG01,Sargam Health Care,,"Khasra No. 77, Opp. India Bank, Old Delhi",New Delhi,13-Jan-23,
MA/CHH/AROG02,Arogyam The Medicity,,Behind Punjab National Bank Thatipur,Gwalior,13-Jan-23,
HA/GUR/NEW 01,New Life Hospital Pvt Ltd,,A-15 Palam Vihar Road Opposite Power House,Gurugram,13-Jan-23,
HA/MAH/VIJA01,Vijay Nursing Home,,"Bus Stand Road, Narnaul",Mahendergarh,13-Jan-23,
DE/WES/CLIF02,Clifton Springs Hospital,,"Plot No-3,Gurgaon Delhi Road",New Delhi,13-Jan-23,
UT/AGR/AYUS01,Ayushman Hospital,,Sikandra Bodla Road Agra,Agra,13-Jan-23,
HA/FAR/MANA2459,Manavta Hospital Pvt Ltd,,"Plot No.-494, Near Women Iti, Uncha Gaon,",Ballabgarh,13-Jan-23,
HA/REW/MEDI03,Medicure Hospital,,"Gali No. 2, Poswal Chowk, Rewari",Rewari,13-Jan-23,
RA/ALW/SATY02,Satyam Hospital,,Near Power House,Main Road,8900080394919,13-Jan-23
TE/SAN/PANA01,Panacea Meridian Hospital,,"H.No. 25-35/12/1, R.C. Puram",Hyderabad,13-Jan-23,
UT/JHA/MAA 17255,Maa Vaishno Hospital And Trauma,,Opposite Mlb Medical College Gate No 4 Kanpur,Jhansi,13-Jan-23,
HA/ROH/OSCA180,Oscar Super Speciality Hospital,,"256/30, Daryao Singh Nagar, Medical More,",Rohtak,13-Jan-23,
MA/CHH/MAHA07,Maharana Pratap Hospital,,"Gulab Bag, Near Mrf Tyre, Dewas Naka",Indore,13-Jan-23,
HA/HIS/SAAN02,Saanvi Hospital,,"Chc Road, Barwala, Hisar",Barwala,13-Jan-23,
RA/JAI/PULS02,Pulse Multispeciality Hospital And,,"Opp. Rtm Hotel, Nh 8, Kotputli, Jaipur",Jaipur,13-Jan-23,
WE/KOL/APEX01,Apex Clinic Private Limited,,"844 A, Rasa Ram Mohan Roy Road, Barisha",Kolkata,13-Jan-23,
MA/BHO/VAIS01,Vaishno Hospital,,"Near Krishna Temple, Khajuri Kalan Road,",Bhopal,13-Jan-23,
